section,variable,description,
Overview,anaemia_track,Progress against global anaemia target (status/number on course),
Overview,lbw_track,Progress against global low birth weight target (status/number on course),
Overview,ebf_track,Progress against global exclusive breastfeeding target (status/number on course),
Overview,under_5_stunting_track,Progress against global child stunting target (status/number on course),
Overview,under_5_wasting_track,Progress against global child wasting target (status/number on course),
Overview,under_5_overweight_track,Progress against global child overweight target (status/number on course),
Overview,adult_fem_obesity_track,"Progress against global adult obesity target, female (status/number on course)",
Overview,adult_mal_obesity_track,"Progress against global adult obesity target, male (status/number on course)",
Overview,adult_fem_diabetes_track,"Progress against global diabetes target, female (status/number on course)",
Overview,adult_mal_diabetes_track,"Progress against global diabetes target, male (status/number on course)",
Overview,rbp_female_track,"Progress against global raised blood pressure target, female (status/number on course)",
Overview,rbp_male_track,"Progress against global raised blood pressure target, male (status/number on course)",
Overview,sodium_track,Progress against global sodium intake target (status/number on course),
Child (under-5) nutrition status,stunting,Children aged 0–59 months who are more than two standard deviations below median height for age of the WHO Child Growth Standards (%) ,
Child (under-5) nutrition status,wasting,Children aged 0–59 months who are more than two (moderate and severe) standard deviations below median weight for height of the WHO Child Growth Standards (%) ,
Child (under-5) nutrition status,overweight,Children under 5 years who are more than two standard deviations above the median weight- for-height of the WHO Child Growth Standards (%) ,
Child (under-5) nutrition status,coexistence,"Coexistence of wasting, stunting and overweight among children under 5 years of age (%)",
Child (under-5) nutrition status,lbw,"Infants born weighing less than 2,500 grams (5.51 pounds) (%)",
Infant & young child feeding,early_initiation,Children born in the last 24 months who were put to the breast within one hour of birth (%),
Infant & young child feeding,exclusive_breastfeeding,Infants aged 0–5 months who received only breast milk during the previous day (%),
Infant & young child feeding,solid_foods,"Infants aged 6–8 months who received solid, semi-solid or soft foods during the previous day (%)",
Infant & young child feeding,continued_breastfeeding_1yr,Children aged 12–15 months who received breast milk during the previous day (%),
Infant & young child feeding,continued_breastfeeding_2yr,Children aged 20–23 months who received breast milk during the previous day (%),
Infant & young child feeding,minimum_diet_diversity,Children aged 6–23 months who received foods from five or more food groups during the previous day (%),
Infant & young child feeding,minimum_meal,"Children aged 6–23 months who received solid, semi-solid, soft foods, or (for breastfed children) milk feeds, the minimum number of times or more during the previous day (%)",
Infant & young child feeding,minimum_accept_diet,"Breastfed children aged 6–23 months who had at least the minimum dietary diversity and the minimum meal frequency during the previous day, and non-breastfed children aged 6–23 months who received at least two milk feedings and had at least the minimum dietary diversity, not including milk feeds, and the minimum meal frequency during the previous day (%)",
Child and adolescent (aged 5-19) nutrition status,adolescent_thinness,Children and adolescents aged 5–19 years who are more than two standard deviations below the median BMI-for-age of the WHO growth reference for school-aged children and adolescents (%),
Child and adolescent (aged 5-19) nutrition status,adolescent_overweight,Children and adolescents aged 5–19 years who are more than one standard deviation above the median BMI-for-age of the WHO growth reference for school-aged children and adolescents (%),
Child and adolescent (aged 5-19) nutrition status,adolescent_obesity,Children and adolescents aged 5–19 years who are more than two standard deviations above the median BMI-for-age of the WHO growth reference for school-aged children and adolescents (%),
Adult nutrition,adult_underweight,Adults aged 18 years and older with a BMI lower than 18.5 kg/m2 (%),
Adult nutrition,adult_overweight,Adults aged 18 years and older with a BMI of 25 kg/m2 or higher (%),
Adult nutrition,adult_obesity,Adults aged 18 years and older with a BMI of 30 kg/m2 or higher (%),
Adult nutrition,adult_anaemia,"Anaemia among women of reproductive age (15–49 years), both pregnant and non- pregnant, with haemoglobin levels below 12 g/dL for non-pregnant women and below 11 g/dL for pregnant women (%)",
Adult nutrition,adult_blood_pressure,"Adults aged 18 years and older with raised blood pressure – defined as blood pressure, systolic and/or diastolic blood pressure ≥140/90 mmHg (%)",
Adult nutrition,adult_diabetes,"Adults aged 18 years and older with diabetes –fasting glucose 7.0 mmol/L, on medication for raised blood glucose, or with history of diagnosis of diabetes (%)",
Adult nutrition,Risk_factor_all-rf,Deaths attributed to all risk factors (millions),
Adult nutrition,Risk_factor_diet,Deaths attributed to all dietary risk factors (millions),
Adult nutrition,Risk_factor_weight,Deaths attributed to all weight risk factors (millions),
Adult nutrition,Risk_factor_fruits,Deaths attributed to diets low in fruits (millions),
Adult nutrition,Risk_factor_vegetables,Deaths attributed to diets low in vegetables (millions),
Adult nutrition,Risk_factor_nuts_seeds,Deaths attributed to diets low in nuts and seeds (millions),
Adult nutrition,Risk_factor_legumes,Deaths attributed to diets low in legumes (millions),
Adult nutrition,Risk_factor_whole_grains,Deaths attributed to diets low in whole grains (millions),
Adult nutrition,Risk_factor_red_meat,Deaths attributed to diets high in red meat (millions),
Adult nutrition,Risk_factor_prc_meat,Deaths attributed to diets high in processed meat (millions),
Adult nutrition,Risk_factor_SSBs,Deaths attributed to diets high in sugar sweetened beverages (millions),
Adult nutrition,Risk_factor_underweight,Deaths attributed to being underweight (millions),
Adult nutrition,Risk_factor_overweight,Deaths attributed to being overweight (millions),
Adult nutrition,Risk_factor_obese,Deaths attributed to being obese (millions),
Dietary needs,Fruit,Estimated intake of fruit in adults aged 20 and older (g/day) ,
Dietary needs,Vegetables,Estimated intake of vegetables in adults aged 20 and older (g/day) ,
Dietary needs,Legumes,Estimated intake of legumes in adults aged 20 and older (g/day) ,
Dietary needs,Nuts,Estimated intake of nuts in adults aged 20 and older (g/day) ,
Dietary needs,Whole grains,Estimated intake of whole grains in adults aged 20 and older (g/day) ,
Dietary needs,Fish,Estimated intake of fish in adults aged 20 and older (g/day) ,
Dietary needs,Dairy,Estimated intake of dairy in adults aged 20 and older (g/day) ,
Dietary needs,Red meat,Estimated intake of red meat in adults aged 20 and older (g/day) ,
Intervention coverage,diarrhea_zinc,Children 0–59 months with diarrhoea in the past two weeks preceding the survey who received zinc treatment (%),
Intervention coverage,vit_a,Children 6–59 months who received two high-dose vitamin A supplements in a calendar year (%),
Intervention coverage,iron_supp,Children 6–59 months given iron supplements in the seven days preceding the survey (%),
Intervention coverage,iron_tablets,Women with a live birth in the five years preceding the survey who received iron tablets or syrup during antenatal care (%),
Intervention coverage,iodised_salt,Households consuming any iodised salt (%),
Underlying determinants ,surface_water,Population using surface water as drinking water source (%),
Underlying determinants ,unimproved_water,Population using an unimproved drinking water source(%),
Underlying determinants ,limited_water,"Population having limited access to an improved drinking water source (that is, drinking water from an improved source for which collection time exceeds 30 minutes for a roundtrip including queuing) (%)",
Underlying determinants ,basic_water,"Population having basic access to an improved drinking water source (that is, drinking water from an improved source for which collection time is not more than 30 minutes for a roundtrip including queuing) (%)",
Underlying determinants ,at_least_basic_water,Population having basic or better access to an improved drinking water source (%),
Underlying determinants ,safely_managed_water,Population using a safely managed drinking water source (%),
Underlying determinants ,open_defecation,Population using open defecation as sanitation facility (%),
Underlying determinants ,unimproved_sanitation,Population using unimproved sanitation facilities (%),
Underlying determinants ,limited_sanitation,Population using limited sanitation facilities (%),
Underlying determinants ,basic_sanitation,Population using basic sanitation facilities (%),
Underlying determinants ,at_least_basic_sanitation,Population using basic or better sanitation facilities (%),
Underlying determinants ,safely_managed_sanitation,Population using safely managed sanitation facilities (%),
Underlying determinants ,undernourishment_prev,Population whose habitual food consumption is insufficient to provide the dietary energy levels required to maintain a normal active and healthy life (%),
Underlying determinants ,early_childbearing_prev,Percentage of women age 20-24 who gave birth before age 18 (%),
Underlying determinants ,gender_inequality,Measurement of gender inequalities in terms of three important aspects of human development: reproductive health – measured by maternal mortality ratio and adolescent birth rates; empowerment – measured by proportion of parliamentary seats occupied by women and proportion of women and men aged 25 years and older with at least some secondary education; and economic status – expressed as labour market participation and measured by labour force participation rate of female and male populations aged 15 years and older (score),
Underlying determinants ,gender_inequality_rank,Gender Inequality Index (country rank),
Underlying determinants ,female_secondary_enroll_net,"The ratio of female children of official school age who are enrolled in school to the population of the corresponding official school age (net, %)",
Resources,BN_ODA_donated,Gross official development assistance (ODA) disbursed for basic nutrition (CRS code: 12240) (US$ millions; constant 2018 prices). ,
Resources,BN_ODA_donated_percent,Gross official development assistance (ODA) disbursed for basic nutrition (CRS code: 12240) reported as percentage of the total ODA disbursed (%),
Resources,BN_ODA_received,Gross official development assistance (ODA) received for basic nutrition (CRS code: 12240) (US$ millions; constant 2018 prices). ,
Resources,BN_ODA_received_percent,Gross official development assistance (ODA) received for basic nutrition (CRS code: 12240) reported as percentage of the total ODA received (%),
Policies and targets,fbdg,"Typically, a set of recommendations in terms of foods, food groups and dietary patterns to provide the required nutrients to promote overall health and prevent chronic diseases (yes or no/number of countries with a guideline)",
Policies and targets,salt_leg,Legal documentation that has the effect of mandating the iodisation of salt (yes or no/number of countries with),
Policies and targets,sugar_tax,Sugar-sweetened beverage tax (yes or no/number of countries with),
Policies and targets,sodium_policy,"Policy (or policies) to reduce population salt consumption such as product reformulation by industry, regulation of salt content of food or public awareness programmes (yes or no/number of countries with)",
Policies and targets,saturated_fatty_acids_policy,Policy (or policies) to reduce population saturated fatty acid intake (yes or no/number of countries with),
Policies and targets,trans_fatty_acids_policy,Policy (or policies) to eliminate industrially produced trans-fatty acids in the food supply (yes or no/number of countries with),
Policies and targets,child_ad_policy,"Policy (or policies) to reduce the impact on children of marketing of foods and non-alcoholic beverages high in saturated fats, trans-fatty acids, free sugars or salt (yes or no/number of countries with)",
